,ID,GENERO,EDAD,NIV_EDUC,E_CIVIL,CIUDAD,M_MOROSO,MONTO,SEGURO,FUGA,logVM_MayoAbril,logVM_JunioMayo,logVM_JulioJunio,logVM_AgostoJulio,logVM_SeptiembreAgosto,logVM_AbrilMarzo,Recency,Frecuencia,logDMax/Renta,logMTD/Renta
2086,0.9097252507631924,0.0,0.5609756097560976,1.0,0.0,0.013513513513513514,0.3333333333333333,1.0,0.0,1.0,0.041437087314814346,0.7562750375360898,0.00013086987360773876,0.2580854965917965,0.012886627313813142,0.04466311372596967,1.0,0.5714285714285714,0.3392325580116235,0.3419305634740534
2087,0.9101613606628871,1.0,0.14634146341463417,1.0,0.3333333333333333,0.013513513513513514,0.3333333333333333,0.1866666666666667,0.0,0.0,1.7974520810477336e-07,0.7129999755574332,4.719608110038905e-05,0.0012326283114906331,0.4888178728634932,0.8154866892066611,1.0,0.5714285714285714,0.12476576652246421,0.16190395386783735
2088,0.9105974705625819,1.0,0.6585365853658536,1.0,0.3333333333333333,0.013513513513513514,0.0,0.6,0.0,0.0,0.041437087314814346,0.04115469380098058,0.07572605548566702,0.0614730517270895,0.05864231352387836,0.04466311372596967,0.0,0.0,0.0842985147710345,0.0
2089,0.9110335804622766,1.0,0.7317073170731707,0.40000000000000013,0.0,0.013513513513513514,0.3333333333333333,1.0,0.0,0.0,0.014278611926384889,7.623648300553885e-08,0.9805430827805512,0.08602809572046408,0.008739145622811645,0.9558449617292459,1.0,0.7142857142857142,0.06879328158373864,0.08293547123259905
2090,0.9114696903619713,0.0,0.5365853658536586,0.6000000000000001,0.0,0.04054054054054054,0.3333333333333333,0.29333333333333333,0.0,1.0,0.0009414431627646843,0.7257570530719619,4.960981943351363e-07,0.0614730517270895,0.49536797328831655,0.26797880657280443,1.0,0.42857142857142855,0.06328344488821415,0.06330171492841566
2091,0.911905800261666,1.0,0.4390243902439024,0.6000000000000001,0.3333333333333333,0.14864864864864866,0.3333333333333333,0.26666666666666666,1.0,0.0,8.473736233114371e-07,0.04115469380098058,0.1957490782468149,0.016163685244228856,0.05864231352387836,0.7185378372357534,0.7777777777777777,0.2857142857142857,0.36123924977590904,0.36077001602233905
2092,0.9123419101613608,1.0,0.4390243902439024,0.6000000000000001,0.3333333333333333,1.0,0.3333333333333333,0.10666666666666667,1.0,0.0,2.618601669802903e-07,0.04115469380098058,0.47313111908073785,0.0011669015177979975,0.39996003753722864,0.7924051559601774,1.0,0.42857142857142855,0.27574791211252453,0.2754841089362619
2093,0.9127780200610555,0.0,0.24390243902439024,0.6000000000000001,0.0,0.13513513513513514,0.6666666666666666,0.10666666666666667,0.0,0.0,1.1094573169468531e-07,0.04115469380098058,0.7687928576622877,0.13697729078808504,1.864951131189616e-05,0.04940381739272344,0.8888888888888888,0.5714285714285714,0.10592894843512425,0.15874330074824713
2094,0.9132141299607501,1.0,0.14634146341463417,0.40000000000000013,0.3333333333333333,0.013513513513513514,0.3333333333333333,0.1866666666666667,1.0,0.0,1.2672224082076483e-07,0.04115469380098058,0.3640421804804017,0.003217820728090182,0.05864231352387836,0.8364890741310446,0.7777777777777777,0.2857142857142857,0.1303381557448656,0.13017132795681946
2095,0.9136502398604449,0.0,0.6585365853658536,0.6000000000000001,0.0,0.04054054054054054,0.3333333333333333,1.0,0.0,1.0,5.1799332237179654e-08,0.04115469380098058,0.07572605548566702,0.8592133629941359,3.712609832195556e-06,0.8871578373247484,0.8888888888888888,0.2857142857142857,0.0877577990766081,0.08873009373197605
2096,0.9140863497601396,0.0,0.46341463414634143,1.0,0.0,0.013513513513513514,0.3333333333333333,0.09333333333333334,0.0,1.0,4.2168349094416117e-07,0.5893420864731419,0.002016249522235531,0.00022457133271506585,0.05864231352387836,0.018049699114073593,0.7777777777777777,0.5714285714285714,0.0130793183844521,0.017619685815152934
2097,0.9145224596598344,1.0,0.5365853658536586,1.0,0.0,0.013513513513513514,0.3333333333333333,0.26666666666666666,0.0,1.0,2.459891111721074e-07,0.04115469380098058,0.07572605548566702,0.0614730517270895,0.24911329969246887,0.7962682580633066,1.0,0.2857142857142857,0.11292040886462248,0.1127771487304268
2098,0.914958569559529,0.0,0.41463414634146334,1.0,0.6666666666666667,0.013513513513513514,0.3333333333333333,0.4666666666666667,0.0,1.0,0.041437087314814346,0.04115469380098058,0.07572605548566702,0.47082641446271134,0.0004183375194243952,0.04466311372596967,0.8888888888888888,0.14285714285714285,0.00238718892655818,0.002384167166054911
2099,0.9153946794592238,1.0,0.7560975609756098,0.40000000000000013,0.0,0.013513513513513514,0.3333333333333333,0.44000000000000006,0.0,1.0,4.21202021054292e-07,0.7054445491894128,4.8316922769400296e-05,0.0013672674196821455,0.05864231352387836,0.7627586685011533,0.7777777777777777,0.42857142857142855,0.08590810435949162,0.13623085796306242
2100,0.9158307893589185,0.0,0.4390243902439024,1.0,0.0,0.013513513513513514,0.3333333333333333,0.13333333333333336,0.0,1.0,1.6074512530596924e-07,0.04115469380098058,0.07572605548566702,0.0614730517270895,0.3870427833910958,0.8222522384114268,1.0,0.2857142857142857,0.15259059617268234,0.15241442944478795
2101,0.9162668992586133,0.0,0.46341463414634143,0.6000000000000001,0.0,0.013513513513513514,0.0,0.29333333333333333,0.0,0.0,0.041437087314814346,0.04115469380098058,0.07572605548566702,0.9042016522883413,1.6228560905944578e-06,0.04466311372596967,0.8888888888888888,0.14285714285714285,0.006761901409298088,0.006753107303741658
2102,0.9167030091583079,1.0,0.5121951219512195,0.40000000000000013,0.3333333333333333,0.013513513513513514,0.0,0.9333333333333333,1.0,0.0,0.041437087314814346,0.6085601544420067,3.823479142470826e-06,0.0614730517270895,0.6850828070898426,0.04466311372596967,1.0,0.2857142857142857,0.20589775656796347,0.21744674320300347
2103,0.9171391190580027,1.0,0.7317073170731707,0.6000000000000001,0.0,0.013513513513513514,0.3333333333333333,0.1866666666666667,0.0,1.0,1.9018597154786946e-05,0.7641653256745036,0.00015220919033921538,0.00015557159281453698,0.39293806680494836,0.5188725343841497,1.0,0.5714285714285714,0.13957823007188414,0.1402419932692578
