,ID,GENERO,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,M_MOROSO,MONTO,logVM_AbrilMarzo,logVM_MayoAbril,logVM_JunioMayo,logVM_JulioJunio,logVM_AgostoJulio,logVM_SeptiembreAgosto,logMTD,Recency,Frecuencia,logDMax/Renta,logMTD/Renta,SEGURO,FUGA,CIUDAD
677,0.29524640209332753,0.0,0.04895801950783646,0.5121951219512195,1.0,0.0,0.06451612903225806,0.007766990291262136,0.3333333333333333,0.17333333333333334,0.7916719512206508,2.649813687431115e-07,0.04115469380098058,0.28021981329260826,0.007091724789157475,0.05864231352387836,0.7284679066847923,0.7777777777777777,0.2857142857142857,0.057581643526064846,0.05750817626961808,NO,NO FUGA,IQUIQUE
678,0.29568251199302226,0.0,0.11249315572096562,0.6097560975609757,0.40000000000000013,0.6666666666666667,0.7548387096774194,0.16893203883495145,0.6666666666666666,0.0,0.7796089564717157,3.217759468438684e-07,0.04115469380098058,0.8753102552192297,2.1476746122336653e-05,0.39920798638970006,0.7183871104756274,1.0,0.42857142857142855,0.0236734510562702,0.024019339720224745,SI,FUGA,SANTIAGO
679,0.296118621892717,0.0,0.05170235509438511,0.19512195121951215,0.6000000000000001,0.3333333333333333,0.5935483870967742,0.1786407766990291,0.3333333333333333,0.053333333333333344,0.0005498606175082203,1.0574530685044287e-05,0.7666500802179421,0.00016104844946295425,0.00014027341230177958,0.509613430086072,0.8231888859042601,1.0,0.7142857142857142,0.12572238584160728,0.1691413171473175,SI,FUGA,SANTIAGO
680,0.2965547317924117,0.0,0.009263507670383071,0.7560975609756098,0.6000000000000001,0.0,0.16129032258064516,0.20388349514563106,0.3333333333333333,0.06666666666666667,0.8202777352325086,1.6608562495313085e-07,0.7803090807023191,0.00014293666332076252,0.00012475497227871477,0.40574726372192715,0.8094051851621165,1.0,0.5714285714285714,0.275617823252243,0.33733989999321723,NO,FUGA,SANTIAGO
681,0.29699084169210643,1.0,0.6610113316066055,0.3902439024390244,0.6000000000000001,1.0,0.2,0.229126213592233,0.3333333333333333,0.29333333333333333,0.8100410617696798,1.9655576035111838e-07,0.6475310654887483,0.0040936003226693,3.4685054501491256e-05,0.45117418390105246,0.7560313012044463,1.0,0.5714285714285714,0.00687873701663988,0.008183643320329455,NO,NO FUGA,SANTIAGO
682,0.29742695159180116,0.0,0.006521064647490502,0.7073170731707317,1.0,0.0,0.3161290322580645,0.19999999999999998,1.0,0.1866666666666667,0.4299143430427719,7.570932968746827e-05,0.7686986818133773,0.0006271080733021144,2.879284272946979e-05,0.5901547293715667,0.7682260009654516,1.0,0.5714285714285714,0.2941232719948667,0.2949585066329266,NO,FUGA,SANTIAGO
683,0.2978630614914959,1.0,0.043763523698031534,0.2926829268292682,0.6000000000000001,1.0,0.17419354838709677,0.24271844660194172,0.3333333333333333,0.52,0.8407029941767546,0.19612157734324007,0.0022823196239232413,0.0004534506797993563,0.17438661529701444,0.056574539844169464,0.970405846192283,1.0,0.8571428571428571,0.47861380691295474,0.4882370150222663,NO,NO FUGA,SAN PEDRO
684,0.2982991713911906,0.0,0.07162336185308477,0.7560975609756098,0.40000000000000013,0.0,0.16129032258064516,0.17281553398058253,0.3333333333333333,0.6266666666666667,0.801886926803813,2.2453938006628594e-07,0.6769484433643398,1.180599582945509e-06,0.795676730368464,0.00015960232303888292,0.7571026096933196,1.0,0.5714285714285714,0.04789798345945859,0.062489492063275545,NO,FUGA,SANTIAGO
685,0.29873528129088534,0.0,0.006721439824578275,0.5121951219512195,1.0,0.0,0.5806451612903226,0.1786407766990291,1.0,0.12000000000000001,0.1174270585738573,1.2572153426286022e-06,0.719225773297786,0.0011793988175204317,3.6880808047257137e-05,0.5249362916678907,0.7347702179452533,1.0,0.7142857142857142,0.19627792342234132,0.22598783038872072,NO,FUGA,SANTIAGO
686,0.29917139119058,1.0,0.02279344524771943,0.7804878048780488,0.40000000000000013,0.3333333333333333,0.7870967741935484,0.16310679611650483,0.3333333333333333,0.8,0.04466311372596967,0.041437087314814346,0.04115469380098058,0.48275680840069596,0.0010672164903340832,0.4465543903829764,0.3332380541440197,1.0,0.2857142857142857,0.0001374022644875128,0.0001946549847307463,SI,NO FUGA,SANTIAGO
687,0.29960750109027473,1.0,0.00497105501315864,0.7560975609756098,0.40000000000000013,0.0,0.38064516129032255,0.17281553398058253,0.3333333333333333,1.0,0.8787128450800552,6.057656317361305e-08,0.04115469380098058,0.30290434400644434,0.4647382225501807,2.852022117923909e-05,0.808756688224841,0.8888888888888888,0.42857142857142855,0.41534689753556253,0.41523775842797606,NO,NO FUGA,SANTIAGO
688,0.30004361098996946,0.0,0.4122623457545834,0.4390243902439024,1.0,0.0,0.3548387096774194,0.17281553398058253,0.3333333333333333,0.2,0.16838774896854383,3.6631228592878966e-07,0.7652103287650396,0.00014265912427310895,0.0001634701108646407,0.44741333377090076,0.7855212934945697,1.0,0.7142857142857142,0.01470530458724287,0.02060153093635977,NO,FUGA,SANTIAGO
689,0.3004797208896642,0.0,0.1203228098514089,0.5853658536585367,1.0,0.0,0.8903225806451613,0.0,0.3333333333333333,0.6266666666666667,0.8298825525355831,0.05743345558535082,9.06112014668023e-08,0.07572605548566702,0.0614730517270895,0.05864231352387836,0.8205872653057883,0.5555555555555556,0.2857142857142857,0.06615676959075292,0.09519684758768167,NO,FUGA,ARICA
690,0.3009158307893589,0.0,0.026125066993796294,0.1707317073170731,0.6000000000000001,0.3333333333333333,0.5806451612903226,0.4368932038834952,0.3333333333333333,0.2,0.5294929982681046,1.612654837044249e-05,0.04115469380098058,0.4002428360537561,0.002296053958895702,0.05864231352387836,0.487791814987666,0.7777777777777777,0.2857142857142857,0.0022726646510117013,0.002292284345487395,NO,NO FUGA,CONCEPCION
691,0.30135194068905363,1.0,0.04304754320988969,0.7804878048780488,1.0,0.0,0.17419354838709677,0.4368932038834952,0.3333333333333333,0.2,0.45516466502385405,5.114966935117017e-05,0.7420858730335868,4.7652260009885425e-05,0.0007469561082498216,0.39046164034362285,0.7413548009228265,1.0,0.5714285714285714,0.07545075699140007,0.0756497271346751,NO,FUGA,CONCEPCION
